S. No,NAME OF THE BLOOD BANK,LICENCE NUMBER,DATED,VALID UP TO
1,"Salem Steel Authority of India, Salem Steel Plant, Mohan Nagar,                 Salem - 636 013.","35/28C            
","19.07.1995
",31.12.2017
2," Southern Railway HospitalGold Rock, Tiruchy -  620 002","45/28C         
","12.12.1995
",31.12.2017
3,"Bharath Heavy Electricals Ltd.,  
( Main Hospital) (BHEL)
Kailasapuram -  620 014,Trichy District.
","74/28C 
","17.01.1997
",31.12.2017
4,"IRT Perunthurai  Medical College Hospital Perunthurai, Sanatorium,  Erode - 638053. ","75/28C                
","17.01.1997
",31.12.2017
5,"Neyveli  Lignite Corporation (NLC HI) Neyveli - 607 803.
","129/28C 
","20.05.1997
",31.12.2017
6," Southern Railway Head Quarters  Hospital, Ayanavaram,                                    Chennai- 600 023.","133/28C                
","03.07.1997
",31.12.2015
7,"Military Hospital,St.Thomas Mount, Defence colony,Chennai -600 032
","161/28C
","03.11.2005
",02.11.2015
8,"Military Hospital, Wellington, Nilgiris District -  643231.
","262/28C            
","21.06.2005
",20.06.2020
